,Company_Name,Rating,No_Of_Reviews,Company_Type,Location
7920,Hestabit Technologies,3.5,(136),IT Services & Consulting,Noida +4 other locations
7921,Enrich Energy,4.0,(136),Real Estate,Pune +12 other locations
7922,Locobuzz,2.5,(136),Software Product,Mumbai +7 other locations
7923,Magna Steyr,4.2,(136),Automobile,Pune +2 other locations
7924,Speciality Restaurants,4.2,(136),Hospitality,Mumbai +15 other locations
7925,Cherise India,3.8,(136),Beverage,Pune +5 other locations
7926,LAKME ACADEMY,3.2,(136),Beauty & Personal Care,New Delhi +38 other locations
7927,Daimler,4.0,(136),Automobile,Chennai +12 other locations
7928,Shubham EPC,4.2,(137),Engineering & Construction,Pune +6 other locations
7929,Skillinabox,4.2,(136),Noida +4 other locations,
7930,Delta Technology,3.7,(136),IT Services & Consulting,Hyderabad / Secunderabad +10 other locations
7931,Digital Nirvana Information Systems,3.4,(136),Software Product,Hyderabad / Secunderabad +4 other locations
7932,A. Menarini India,3.5,(136),Pharma,Mumbai +26 other locations
7933,Panoli Intermediates India,4.0,(136),Chemicals,Vadodara +5 other locations
7934,Gits Food Products,4.0,(136),FMCG,Pune +32 other locations
7935,Vtc Tradewings,4.0,(136),Logistics,Noida +24 other locations
7936,BCForward,3.0,(136),Internet,Hyderabad / Secunderabad +4 other locations
7937,One Trust,3.1,(136),Software Product,Bangalore / Bengaluru +6 other locations
7938,Bharuch Enviro Infrastructure,4.1,(136),Real Estate,Ankleshwar +12 other locations
7939,Speed Engineering Solutions,3.8,(136),Engineering & Construction,Pune +3 other locations
7940,Decision Point,3.4,(136),Analytics & KPO,Gurgaon / Gurugram +4 other locations
7941,Xylem Learning,4.0,(136),EdTech,Kozhikode +11 other locations
7942,Shivalik Prints,4.1,(136),Fashion & Textile,Faridabad +6 other locations
7943,Appsquadz Software,3.8,(136),IT Services & Consulting,Noida +4 other locations
7944,Houzeo,3.9,(136),Thane +1 other locations,
7945,Luker Electric Technologies,3.7,(136),Financial Services,Coimbatore +35 other locations
7946,Redisolve Software,2.8,(136),Software Product,Chennai +8 other locations
7947,Maiva Pharma,3.8,(136),Hosur +3 other locations,
7948,Nichino,3.5,(136),Hyderabad / Secunderabad +37 other locations,
7949,Milacron,3.8,(137),Ahmedabad +6 other locations,
7950,Transformers & Rectifiers (India),4.2,(136),Electrical Equipment,Ahmedabad +5 other locations
7951,Futuresoft Solutions,3.1,(136),IT Services & Consulting,New Delhi +20 other locations
7952,Strata Geosystems,3.8,(136),Engineering & Construction,Mumbai +22 other locations
7953,Sterling Auxiliaries,3.1,(136),Chemicals,Bharuch +6 other locations
7954,Planet PCI Infotech,3.5,(136),Recruitment,Gurgaon / Gurugram +35 other locations
7955,Sitec Labs,4.0,(136),Pharma,Mumbai +2 other locations
7956,Pyro Group,3.4,(135),Telecom,Hyderabad / Secunderabad +27 other locations
7957,Aksh Optifibre,3.7,(135),Telecom,New Delhi +15 other locations
7958,Digicommerce Solutions LLP,4.7,(135),Internet,Noida +5 other locations
7959,Dangote Industries,4.0,(135),Building Material,Lagos +10 other locations
7960,Techved Consulting,3.4,(135),IT Services & Consulting,Mumbai +6 other locations
7961,HealthAsyst,3.8,(135),IT Services & Consulting,Bangalore / Bengaluru +2 other locations
7962,Complere Infosystem,4.3,(135),Software Product,Ambala +5 other locations
7963,rProcess Outsourcing Services,3.3,(135),Analytics & KPO,Mysuru / Mysore +2 other locations
7964,TML Business Services,3.9,(135),IT Services & Consulting,Pune +15 other locations
7965,Bhate & Raje Construction Co.,4.1,(135),Engineering & Construction,Pune +7 other locations
7966,Axles India,3.4,(135),Auto Components,Chennai +10 other locations
7967,Bennett University,3.8,(135),Education & Training,Greater Noida +7 other locations
7968,Indian Armed Forces,4.6,(135),Government,New Delhi +35 other locations
7969,KLES Dr. Prabhakar Kore Hospital & M.R.C,3.6,(135),Healthcare,Belgaum +9 other locations
7970,FabAlley,3.9,(135),Retail,Noida +14 other locations
7971,Jsw Infrastructure,4.2,(135),Engineering & Construction,Mumbai +19 other locations
7972,The Nuance Group AG,4.3,(135),IT Services & Consulting,Pune +9 other locations
7973,Solitaire World,3.9,(135),Real Estate,Pune +3 other locations
7974,Vibatel Solutions,3.6,(135),BPO,Hyderabad / Secunderabad +5 other locations
7975,IPAC,3.3,(135),Retail,Kolkata +15 other locations
7976,Quatrro Mortgage Solutions,3.1,(135),Financial Services,Mumbai +8 other locations
7977,Digicommerce Solutions LLP,4.7,(135),Internet,Noida +5 other locations
7978,Dangote Industries,4.0,(135),Building Material,Lagos +10 other locations
7979,Khandelwal Laboratories,4.1,(135),Pharma,Mumbai +18 other locations
7980,Surya Food & Agro,3.3,(135),Food Processing,Noida +31 other locations
7981,SPARX IT Solutions,3.7,(135),IT Services & Consulting,Noida +8 other locations
7982,IMS Learning Resources,3.7,(136),Education & Training,Mumbai +26 other locations
7983,SkillCircle,4.1,(135),EdTech,New Delhi +9 other locations
7984,Banaras Hindu University,4.7,(135),Education & Training,Varanasi +12 other locations
7985,RKC Infrabiult Private Limited,3.6,(135),Engineering & Construction,Ahmedabad +15 other locations
7986,Azuga Telematics,3.5,(135),Software Product,Bangalore / Bengaluru +5 other locations
7987,Oman Shapoorji Llc,3.6,(135),Engineering & Construction,Muscat +9 other locations
7988,Worldpay,4.1,(135),FinTech,Indore +5 other locations
7989,Shankar Electricals,3.7,(135),Electrical Equipment,Bangalore / Bengaluru +8 other locations
7990,Robt Stone (ME) LLC,2.8,(135),Oil & Gas,Abu Dhabi +7 other locations
7991,Shree Hari Infraprojects,3.5,(135),Jaipur +19 other locations,
7992,Solulab inc,3.1,(135),IT Services & Consulting,Ahmedabad +3 other locations
7993,AI Engineering Services,3.5,(135),New Delhi +11 other locations,
7994,STEM Learning,4.1,(135),Education & Training,Mumbai +17 other locations
7995,Country Holidays Travel India,3.3,(135),Travel & Tourism,Noida +6 other locations
7996,Rhysley Private Limited,3.6,(135),Fashion & Textile,Faridabad +5 other locations
7997,Indus Cosmeceuticals,4.4,(135),Beauty & Personal Care,Faridabad +5 other locations
7998,Mapro Foods,3.6,(135),FMCG,Pune +35 other locations
7999,APL Logistics,3.8,(135),Logistics,Chennai +28 other locations
8000,Institutional Shareholder Services,3.5,(135),Analytics & KPO,Mumbai +6 other locations
8001,Dana TM4,4.0,(136),Power,Pune +5 other locations
8002,Titan Biotech,3.5,(135),Biotechnology,New Delhi +6 other locations
8003,spd construction limited,3.8,(135),Bhubaneswar +13 other locations,
8004,Premsons Motor Udyog,3.5,(135),Auto Components,Ranchi +8 other locations
8005,Gemini Consulting & Services,3.8,(135),IT Services & Consulting,Hyderabad / Secunderabad +9 other locations
8006,APEEJAY EDUCATION SOCIETY,3.1,(135),Education & Training,New Delhi +15 other locations
8007,Ashida Electronics,3.9,(135),Electronics Manufacturing,Mumbai +16 other locations
8008,Omega Elevators,3.9,(135),Industrial Machinery,Ahmedabad +26 other locations
8009,Revature,3.3,(135),IT Services & Consulting,Chennai +7 other locations
8010,Pricol Engineering Industries,3.8,(135),Auto Components,Coimbatore +14 other locations
8011,Ayana Renewable Power,4.3,(135),Power,Bangalore / Bengaluru +18 other locations
8012,Silver Consumer Electricals,3.4,(136),Industrial Machinery,Rajkot +33 other locations
8013,Moris Media,4.4,(135),Marketing & Advertising,Dubai +16 other locations
8014,Quadrant Technologies,3.4,(135),Industrial Automation,Hyderabad / Secunderabad +8 other locations
8015,Pioneer Wincon,4.2,(135),Power,Chennai +17 other locations
8016,CNS Comnet,4.1,(134),BPO,Gurgaon / Gurugram +4 other locations
8017,KMC Constructions,4.2,(134),Engineering & Construction,Hyderabad / Secunderabad +25 other locations
8018,CG Corp Global,3.1,(134),Gurgaon / Gurugram +23 other locations,
8019,Rockman Group,3.8,(134),Tirupati +17 other locations,
8020,Rigved Technologies,3.8,(134),Emerging Technologies,Mumbai +9 other locations
8021,Calling 24o7 Bpo Services,3.9,(134),BPO,Pune +9 other locations
8022,Arbro Pharmaceuticals,3.9,(134),Pharma,New Delhi +8 other locations
8023,Vista Furnishing Limited,4.1,(134),Furniture & Furnishing,Ghaziabad +9 other locations
8024,Forbes Facility Services,4.2,(134),Facility Management Services,Mumbai +17 other locations
8025,V.Ships,4.0,(134),Ports & Shipping,Mumbai +11 other locations
8026,Nifco India,3.6,(134),Industrial Machinery,Gurgaon / Gurugram +9 other locations
8027,Remsons Industries,3.7,(134),Auto Components,Gurgaon / Gurugram +9 other locations
8028,Tafe Access,3.7,(134),Automobile,Chennai +14 other locations
8029,Bangalore Electricity Supply Company,3.8,(134),Bangalore / Bengaluru +10 other locations,
8030,Sakal Media Group,3.5,(134),Media & Entertainment,Pune +18 other locations
8031,Fabtech Technologies International,3.4,(134),Engineering & Construction,Mumbai +6 other locations
8032,Mahindra Aerospace,3.9,(134),Defence & Aerospace,Bangalore / Bengaluru +9 other locations
8033,mPHATEK Systems,3.4,(134),IT Services & Consulting,Pune +3 other locations
8034,Oman National Engineering & Investment Company,3.9,(134),Engineering & Construction,Muscat +7 other locations
8035,DNV,4.1,(134),Management Consulting,Pune +16 other locations
8036,91Squarefeet,3.3,(134),Internet,Gurgaon / Gurugram +4 other locations
8037,Al Fara'a Group,3.1,(134),Engineering & Construction,Mumbai +11 other locations
8038,Prothious Engineering Services,3.2,(134),Design,Chennai +5 other locations
8039,Doshion,3.7,(134),Waste Management,Ahmedabad +6 other locations
8040,Dr.SNS Rajalakshmi College Of Arts and Science,4.9,(134),Education & Training,Coimbatore +1 other locations
8041,Esme Consumer,4.0,(135),Beauty & Personal Care,Gurgaon / Gurugram +32 other locations
8042,Hungama,3.2,(134),Internet,Mumbai +8 other locations
8043,Ravi Infrabuild Projects,3.7,(134),Engineering & Construction,Udaipur +24 other locations
8044,EIH,3.6,(134),Hospitality,New Delhi +12 other locations
8045,Cachet Pharmaceuticals,3.8,(134),Pharma,Mumbai +26 other locations
8046,BrowserStack,3.5,(134),Software Product,Mumbai +5 other locations
8047,LRQA,3.3,(134),Analytics & KPO,Mumbai +19 other locations
8048,Priyagold Biscuits,2.7,(134),Food Processing,Noida +37 other locations
8049,V2soft,3.5,(134),IT Services & Consulting,Bangalore / Bengaluru +7 other locations
8050,Ace Creative Learning,3.9,(134),Design,Bangalore / Bengaluru +15 other locations
8051,SAVE Solutions,4.0,(134),Financial Services,New Delhi +39 other locations
8052,Detox Group,3.9,(134),Chemicals,Ankleshwar +16 other locations
8053,Enviro Infra Engineers,4.1,(134),Waste Management,New Delhi +31 other locations
8054,Cubic Transportation Systems,3.1,(134),Software Product,Hyderabad / Secunderabad +2 other locations
8055,ZoomRx,2.6,(134),Analytics & KPO,Chennai +4 other locations
8056,ClinicAnywhere,3.2,(134),Bangalore / Bengaluru +9 other locations,
8057,TD Power Systems,3.7,(137),Electrical Equipment,Bangalore / Bengaluru +7 other locations
8058,NCR Atleos,3.8,(144),Mumbai +16 other locations,
8059,PrimeXBT,4.7,(134),FinTech,London +3 other locations
8060,Detox Group,3.9,(134),Chemicals,Ankleshwar +16 other locations
8061,Cubic Transportation Systems,3.1,(134),Software Product,Hyderabad / Secunderabad +2 other locations
8062,ZoomRx,2.6,(134),Analytics & KPO,Chennai +4 other locations
8063,NCR Atleos,3.8,(144),Mumbai +16 other locations,
8064,TD Power Systems,3.7,(137),Electrical Equipment,Bangalore / Bengaluru +7 other locations
8065,PrimeXBT,4.7,(134),FinTech,London +3 other locations
8066,ClinicAnywhere,3.2,(134),Bangalore / Bengaluru +9 other locations,
8067,Emrill Services LLC,4.1,(134),Facility Management Services,Dubai +9 other locations
8068,Daicel Chiral Technologies,4.2,(134),Pharma,Hyderabad / Secunderabad +2 other locations
8069,Priyagold Biscuits,2.7,(134),Food Processing,Noida +37 other locations
8070,DigitalTrack Solutions,3.8,(134),IT Services & Consulting,Chennai +13 other locations
8071,Amalgamated Plantations,3.8,(133),Beverage,Kolkata +20 other locations
8072,Freudenberg Gala Household Product,4.1,(133),Consumer Electronics & Appliances,Mumbai +26 other locations
8073,Sical Logistics,4.0,(133),Logistics,Bangalore / Bengaluru +22 other locations
8074,West Bengal Power Development Corporation,3.7,(133),Power,Kolkata +13 other locations
8075,Birla Fertility & IVF,3.8,(133),Healthcare,Gurgaon / Gurugram +25 other locations
8076,Trn Energy,3.3,(133),Power,Raigarh +8 other locations
8077,DWD Pharmaceuticals,3.4,(133),Pharma,Vadodara +31 other locations
8078,RAMADA PLAZA,4.1,(133),Hospitality,Chennai +19 other locations
8079,Gamma Process Hub,3.7,(133),BPO,Hyderabad / Secunderabad +6 other locations
8080,Glen Appliances,4.1,(133),Consumer Electronics & Appliances,Faridabad +28 other locations
8081,Deoleo,4.0,(133),Food Processing,Mumbai +34 other locations
8082,DWD Pharmaceuticals,3.4,(133),Pharma,Vadodara +31 other locations
8083,Hansa Research Group,3.6,(133),Analytics & KPO,Mumbai +18 other locations
8084,PATH India,4.2,(133),Industrial Automation,Indore +34 other locations
8085,Vkc Nuts,3.5,(133),Food Processing,Noida +11 other locations
8086,RAMADA PLAZA,4.1,(133),Hospitality,Chennai +19 other locations
8087,Gamma Process Hub,3.7,(133),BPO,Hyderabad / Secunderabad +6 other locations
8088,Freudenberg Gala Household Product,4.1,(133),Consumer Electronics & Appliances,Mumbai +26 other locations
8089,Sical Logistics,4.0,(133),Logistics,Bangalore / Bengaluru +22 other locations
8090,West Bengal Power Development Corporation,3.7,(133),Power,Kolkata +13 other locations
8091,Birla Fertility & IVF,3.8,(133),Healthcare,Gurgaon / Gurugram +25 other locations
8092,Trn Energy,3.3,(133),Power,Raigarh +8 other locations
8093,Distacart,4.7,(133),Internet,Hyderabad / Secunderabad +4 other locations
8094,TripFactory,2.2,(133),Internet,Bangalore / Bengaluru +14 other locations
8095,Colan Infotech,3.4,(133),IT Services & Consulting,Chennai +7 other locations
8096,Sofcon India Pvt Ltd,3.6,(137),Education & Training,Pune +20 other locations
8097,Urjanet Energy Solutions,3.6,(133),IT Services & Consulting,Chennai +2 other locations
8098,MariApps Marine Solutions,3.2,(133),IT Services & Consulting,Kochi +6 other locations
8099,KWALITY DAIRY (INDIA),3.7,(133),FMCG,New Delhi +16 other locations
8100,Sungwoo Hitech,4.0,(133),Auto Components,Chennai +9 other locations
8101,Yocket,3.8,(133),Education & Training,Mumbai +5 other locations
8102,Dachser,3.9,(133),Logistics,Mumbai +17 other locations
8103,Kshema General Insurance,3.7,(133),Insurance,Hyderabad / Secunderabad +19 other locations
8104,S S Enterprises,3.7,(133),Industrial Machinery,Mumbai +46 other locations
8105,Difacto Robotics and Automation,3.6,(134),Industrial Automation,Bangalore / Bengaluru +5 other locations
8106,Sindhuja Microcredit,3.7,(144),Noida +51 other locations,
8107,Viztar International,3.3,(133),Education & Training,Mumbai +18 other locations
8108,42Gears Mobility Systems,4.1,(133),Software Product,Bangalore / Bengaluru +4 other locations
8109,Comnet Solutions,3.4,(133),Telecom,Mumbai +23 other locations
8110,Cogneesol,3.5,(134),BPO,Mohali +5 other locations
8111,Bimbo Bakeries India,3.6,(133),FMCG,New Delhi +14 other locations
8112,Ramdev Food Products,4.4,(133),Food Processing,Ahmedabad +20 other locations
8113,Apraava Energy,4.4,(133),Power,Mumbai +23 other locations
8114,Appcino Technologies,3.4,(133),IT Services & Consulting,Jaipur +12 other locations
8115,Beyondriffs,4.6,(133),Education & Training,Ghaziabad
8116,Raheja Universal,4.1,(133),Real Estate,Mumbai +5 other locations
8117,Homeocare International,3.4,(133),Healthcare,Hyderabad / Secunderabad +23 other locations
8118,G Square Housing,3.8,(133),Real Estate,Chennai +9 other locations
8119,Axis Asset Management Company,3.7,(133),Financial Services,Mumbai +52 other locations
8120,Dachser,3.9,(133),Logistics,Mumbai +17 other locations
8121,Mutual Industries,3.1,(133),Petrochemicals,Mumbai +12 other locations
8122,Digi Clarity Global Solutions,4.1,(133),Analytics & KPO,Chennai +1 other locations
8123,D Light Energy,3.6,(132),Waste Management,Gurgaon / Gurugram +34 other locations
8124,Packt Publishing,3.0,(132),Printing & Publishing,Mumbai +5 other locations
8125,7SearchPPC,4.8,(132),Marketing & Advertising,Lucknow +6 other locations
8126,Husk Power Systems,3.4,(132),Power,Patna +21 other locations
8127,Century Rayon,3.8,(132),Fashion & Textile,Mumbai +8 other locations
8128,Devgiri Forgings,3.6,(132),Industrial Machinery,Aurangabad +8 other locations
8129,APC By Schneider Electric,4.4,(132),Electrical Equipment,Bangalore / Bengaluru +16 other locations
8130,Sugam Homes,4.6,(132),Real Estate,Kolkata +2 other locations
8131,Panchayati Raj,3.6,(132),Hyderabad / Secunderabad +66 other locations,
8132,International Crops Research Institute for the Semi-arid Tropics,3.8,(132),Analytics & KPO,Hyderabad / Secunderabad +15 other locations
8133,Institute of Chemical Technology,4.0,(132),Mumbai +32 other locations,
8134,Benteler Automotive,4.2,(132),Automobile,Pune +3 other locations
8135,Chiripal Group,4.0,(132),Fashion & Textile,Ahmedabad +10 other locations
8136,IJM (India) Infrastructure,4.1,(132),Engineering & Construction,Hyderabad / Secunderabad +13 other locations
8137,New Swan Multitech,4.1,(132),Industrial Machinery,Ludhiana +5 other locations
8138,Capline Services,3.1,(132),Healthcare,Noida +4 other locations
8139,ERA's Lucknow Medical College & Hospital,3.9,(132),Education & Training,Lucknow +3 other locations
8140,Xihi Technology,3.5,(132),Electronics Manufacturing,Noida +5 other locations
8141,FICCI,3.3,(132),Government,New Delhi +14 other locations
8142,Hemani Industries,3.6,(132),Agro Chemicals,Bharuch +8 other locations
8143,Besmak Components,3.9,(132),Auto Components,Chennai +7 other locations
8144,UTI Mutual Fund,4.0,(132),Financial Services,Mumbai +59 other locations
8145,Testhouse,4.3,(132),IT Services & Consulting,Thiruvananthapuram +5 other locations
8146,Urbanpro,3.8,(132),EdTech,Bangalore / Bengaluru +22 other locations
8147,vConstruct,3.8,(132),Engineering & Construction,Pune +3 other locations
8148,Euronet Global Development Center,3.9,(132),FinTech,Mumbai +11 other locations
8149,Saifee Hospital,3.0,(132),Healthcare,Mumbai +7 other locations
8150,Nova IVF Fertility,3.7,(132),Healthcare,Kolkata +37 other locations
8151,Propelld,3.7,(132),Internet,Bangalore / Bengaluru +24 other locations
8152,Bluecraft Agro,3.5,(132),Food Processing,Yamunanagar +10 other locations
8153,Solar Defence And Aerospace,3.8,(132),Nagpur +5 other locations,
8154,Sandvik Coromant,4.0,(132),Industrial Machinery,Pune +9 other locations
8155,Obeetee,3.8,(132),Fashion & Textile,Panipat +11 other locations
8156,Suwasthi,2.4,(132),Noida +5 other locations,
8157,Servify,3.7,(132),Consumer Electronics & Appliances,Mumbai +15 other locations
8158,ToXSL Technologies,3.8,(132),IT Services & Consulting,Mohali +14 other locations
8159,Primus Super Speciality Hospital,3.1,(132),Healthcare,New Delhi +7 other locations
8160,Modern Foods,3.6,(132),Food Processing,Chennai +21 other locations
8161,Jindal Stainless Steelway,3.9,(132),Iron & Steel,Gurgaon / Gurugram +19 other locations
8162,Winman Software,4.1,(132),Software Product,Mangaluru
8163,EKA Mobility,3.3,(136),Pune +7 other locations,
8164,VLink,3.7,(133),IT Services & Consulting,Gurgaon / Gurugram +5 other locations
8165,ToXSL Technologies,3.8,(132),IT Services & Consulting,Mohali +14 other locations
8166,Servify,3.7,(132),Consumer Electronics & Appliances,Mumbai +15 other locations
8167,Solar Defence And Aerospace,3.8,(132),Nagpur +5 other locations,
8168,Suwasthi,2.4,(132),Noida +5 other locations,
8169,Obeetee,3.8,(132),Fashion & Textile,Panipat +11 other locations
8170,Primus Super Speciality Hospital,3.1,(132),Healthcare,New Delhi +7 other locations
8171,Avvashya Cci Logistics,3.6,(132),Logistics,Mumbai +20 other locations
8172,FNF India,3.8,(133),IT Services & Consulting,Bangalore / Bengaluru +4 other locations
8173,Sandvik Coromant,4.0,(132),Industrial Machinery,Pune +9 other locations
8174,Share India Securities,3.7,(132),New Delhi +12 other locations,
8175,Aligned Automation,3.9,(132),IT Services & Consulting,Pune +4 other locations
8176,Eisneramper LLP,2.8,(132),Accounting & Auditing,Mumbai +11 other locations
8177,Harsha Engineers International,4.0,(132),Ahmedabad +2 other locations,
8178,Heranba Industries,3.7,(136),Agro Chemicals,Vapi +21 other locations
8179,Progcap,4.0,(132),Financial Services,New Delhi +16 other locations
8180,Prabha Automotive Engineers,3.8,(132),Hosur +11 other locations,
8181,Galore Networks,2.9,(131),IT Services & Consulting,Chennai +32 other locations
8182,Hawa Valves,3.1,(131),Oil & Gas,Mumbai +7 other locations
8183,Choice Solutions (India),3.4,(131),IT Services & Consulting,Hyderabad / Secunderabad +14 other locations
8184,Jss Pro Services,3.8,(131),Financial Services,Hyderabad / Secunderabad +5 other locations
8185,V-ensure Pharma Technologies,3.2,(131),Pharma,Mumbai +6 other locations
8186,Frugal Testing,4.7,(131),IT Services & Consulting,Hyderabad / Secunderabad +1 other locations
8187,Xcelore,4.8,(132),IT Services & Consulting,Noida +2 other locations
8188,DSM,3.9,(131),Chemicals,Hyderabad / Secunderabad +25 other locations
8189,Electronics for Imaging,3.8,(131),Printing & Publishing,Bangalore / Bengaluru +6 other locations
8190,GE Capital,4.4,(131),Financial Services,Gurgaon / Gurugram +10 other locations
8191,Century Real Estate,3.9,(131),Real Estate,Bangalore / Bengaluru +4 other locations
8192,Reliable Business Solutions & Services,3.0,(131),BPO,Mumbai +8 other locations
8193,Camp K-12,3.3,(131),EdTech,Gurgaon / Gurugram +5 other locations
8194,Daelim Industrial Co.,4.8,(131),Petrochemicals,Chennai +13 other locations
8195,Al Hassan Engineering Company SAOG,3.9,(131),Engineering & Construction,Muscat +14 other locations
8196,Malpani Group,4.1,(131),Power,Pune +18 other locations
8197,Viveks,3.9,(131),Retail,Chennai +14 other locations
8198,Stemmons Business Services,4.0,(131),BPO,Vadodara +1 other locations
8199,Basix,4.5,(131),Financial Services,Hyderabad / Secunderabad +65 other locations
8200,Al Hassan Engineering Company SAOG,3.9,(131),Engineering & Construction,Muscat +14 other locations
8201,Akshayakalpa,3.9,(131),Internet,Bangalore / Bengaluru +12 other locations
8202,Kruger Ventilation Industries,3.3,(131),Industrial Machinery,Mumbai +11 other locations
8203,J. M. Mhatre Infra,3.9,(131),Engineering & Construction,Navi Mumbai +17 other locations
8204,Mallcom,3.8,(131),BPO,Kolkata +10 other locations
8205,Voltech Hr Services,3.2,(131),Recruitment,Chennai +32 other locations
8206,Signity Software Solutions,4.1,(132),IT Services & Consulting,Chandigarh +3 other locations
8207,Phoenix Marketcity,3.8,(131),Retail,Mumbai +10 other locations
8208,Riello Power India,3.7,(131),Electronics Manufacturing,Gurgaon / Gurugram +13 other locations
8209,Uttar Pradesh Jal Nigam,4.1,(131),Government,Lucknow +41 other locations
8210,Envision Overseas Education Consultants,4.0,(131),Mumbai +7 other locations,
8211,Rinac India Limited,3.9,(131),Engineering & Construction,Bangalore / Bengaluru +18 other locations
8212,Tecnics Integration Technologies,3.3,(131),Software Product,Hyderabad / Secunderabad +4 other locations
8213,Freight Tiger,3.6,(131),Logistics,Mumbai +23 other locations
8214,Malpani Group,4.1,(131),Power,Pune +18 other locations
8215,Data Template Infotech,2.9,(131),IT Services & Consulting,Bangalore / Bengaluru +4 other locations
8216,Sigma,3.8,(131),Pharma,Pune +34 other locations
8217,Multi Mantech International,2.3,(131),Engineering & Construction,Ahmedabad +27 other locations
8218,Quality Evaluation And Systems Team,4.0,(131),Engineering & Construction,Bangalore / Bengaluru +26 other locations
8219,Sumitomo Mitsui Banking Corporation,2.5,(131),Financial Services,New Delhi +7 other locations
8220,SPJ group,2.5,(131),Real Estate,New Delhi +11 other locations
8221,Data Template Infotech,2.9,(131),IT Services & Consulting,Bangalore / Bengaluru +4 other locations
8222,Nuvento Systems,3.2,(131),IT Services & Consulting,Kochi +11 other locations
8223,AmpleLogic,2.9,(131),Software Product,Hyderabad / Secunderabad +1 other locations
8224,Anjan Drug,3.2,(131),Pharma,Chennai +4 other locations
8225,Siemens Industry Software (India),4.2,(131),Industrial Automation,Pune +7 other locations
8226,Quality Evaluation And Systems Team,4.0,(131),Engineering & Construction,Bangalore / Bengaluru +26 other locations
8227,Multi Mantech International,2.3,(131),Engineering & Construction,Ahmedabad +27 other locations
8228,Snowcem Paints,4.4,(131),Building Material,Mumbai +32 other locations
8229,Sumitomo Mitsui Banking Corporation,2.5,(131),Financial Services,New Delhi +7 other locations
8230,Miles Education,2.9,(131),Education & Training,Bangalore / Bengaluru +9 other locations
8231,Sigma,3.8,(131),Pharma,Pune +34 other locations
8232,Svarn Infratel,3.5,(131),Hardware & Networking,Faridabad +8 other locations
8233,ITL Industries,3.8,(131),Industrial Machinery,Indore +13 other locations
8234,PSG Hospitals,4.1,(131),Healthcare,Coimbatore +5 other locations
8235,Jolly Containers,3.7,(131),Petrochemicals,Daman & Diu +14 other locations
8236,R.K. Group,3.4,(131),Real Estate,Bangalore / Bengaluru +35 other locations
8237,BMA Wealth Creators,4.4,(130),Financial Services,Kolkata +31 other locations
8238,Ferromatik Milacron,3.5,(130),Industrial Machinery,Ahmedabad +8 other locations
8239,Orris Infrastructure,4.0,(130),Real Estate,Gurgaon / Gurugram +5 other locations
8240,Yahoo,4.5,(130),Internet,Bangalore / Bengaluru +8 other locations
8241,Kusalava International,3.8,(130),Industrial Machinery,Vijayawada +9 other locations
8242,Genus Innovation,3.7,(130),Power,Jaipur +20 other locations
8243,Spykar Lifestyles,4.0,(130),Fashion & Textile,Mumbai +35 other locations
8244,Ardom Towergen,3.9,(131),Telecom,Gurgaon / Gurugram +18 other locations
8245,Global Cloud Xchange,3.4,(130),Telecom,Mumbai +6 other locations
8246,TalentSprint,4.1,(130),Hyderabad / Secunderabad +2 other locations,
8247,Connect India E Commerce Services,2.9,(130),Logistics,Bangalore / Bengaluru +38 other locations
8248,Centurion University of Technology and Management,3.6,(130),Education & Training,Bhubaneswar +15 other locations
8249,Paramount,3.4,(130),IT Services & Consulting,Vadodara +30 other locations
8250,Mitel,3.6,(130),Telecom,Bangalore / Bengaluru +8 other locations
8251,Orris Infrastructure,4.0,(130),Real Estate,Gurgaon / Gurugram +5 other locations
8252,Shilpa Steel and Power,3.5,(130),Iron & Steel,Nagpur +4 other locations
8253,Thinkapps Solutions,3.6,(130),Recruitment,Mumbai +27 other locations
8254,Retailio,3.8,(130),Internet,Mumbai +37 other locations
8255,Real Ispat & Power,3.6,(130),Power,Raipur +9 other locations
8256,Sourcedesk Global,4.2,(130),IT Services & Consulting,Kolkata +2 other locations
8257,Ambrane India,4.3,(130),Consumer Electronics & Appliances,New Delhi +11 other locations
8258,Sanathan Textiles,4.0,(130),Fashion & Textile,Silvassa / Dadra & Nagar Haveli +11 other locations
8259,Idea Infinity IT Solutions,3.2,(130),IT Services & Consulting,Bangalore / Bengaluru +13 other locations
8260,Reynold India,4.6,(130),Industrial Machinery,Noida +11 other locations
8261,Attero Recycling,4.3,(130),Semiconductors,Noida +10 other locations
8262,Idea Infinity IT Solutions,3.2,(130),IT Services & Consulting,Bangalore / Bengaluru +13 other locations
8263,HPI Limited,3.7,(130),Internet,Bangalore / Bengaluru +12 other locations
8264,HexaView Technologies,2.8,(130),IT Services & Consulting,Noida +5 other locations
8265,"MAT Holdings, Inc",3.8,(130),Sonipat +6 other locations,
8266,CSL Finance,3.6,(130),Financial Services,New Delhi +27 other locations
8267,Choice Equity Broking,3.2,(130),Financial Services,Mumbai +34 other locations
8268,Smiths Detection,3.8,(130),Defence & Aerospace,Bangalore / Bengaluru +11 other locations
8269,The West Coast Paper Mills,3.8,(130),Pulp & Paper,Dandeli +10 other locations
8270,Nucot,4.6,(130),Recruitment,Bangalore / Bengaluru +1 other locations
8271,Nxtgen Datacenter Cloud Technologies,3.4,(130),IT Services & Consulting,Bangalore / Bengaluru +6 other locations
